User_id,URL,Time_Stamp
The Giant Company,page1,10/29/2022 11:10
Giant Food,page1,10/29/2022 11:10
Stop & Shop,page1,10/29/2022 11:10
S&S/TGC,page1,10/29/2022 11:10
GF/TGC,page1,10/29/2022 11:10
The Giant Company,page4,10/29/2022 0:11
Giant Food,page4,10/29/2022 0:11
Stop & Shop,page4,10/29/2022 0:11
S&S/TGC,page4,10/29/2022 0:11
GF/TGC,page4,10/29/2022 0:11
The Giant Company,page3,10/29/2022 0:41
Giant Food,page3,10/29/2022 0:41
Stop & Shop,page3,10/29/2022 0:41
S&S/TGC,page3,10/29/2022 0:41
GF/TGC,page3,10/29/2022 0:41
The Giant Company,page2,10/29/2022 11:18
Giant Food,page2,10/30/2022 11:48
Stop & Shop,page2,10/31/2022 11:48
S&S/TGC,page2,11/1/2022 11:18
GF/TGC,page2,11/2/2022 11:18
The Giant Company,page4,10/29/2022 0:41
Giant Food,page4,10/29/2022 0:41
Stop & Shop,page4,10/29/2022 0:41
S&S/TGC,page4,10/29/2022 0:41
GF/TGC,page4,10/29/2022 0:41
The Giant Company,page3,10/29/2022 2:41
Giant Food,page3,10/29/2022 2:41
Stop & Shop,page3,10/29/2022 2:41
S&S/TGC,page3,10/29/2022 2:41
GF/TGC,page3,10/29/2022 2:41
The Giant Company,page2,10/29/2022 3:11
Giant Food,page2,10/29/2022 3:11
Stop & Shop,page2,10/29/2022 3:11
S&S/TGC,page2,10/29/2022 3:11
GF/TGC,page2,10/29/2022 3:11
The Giant Company,page4,10/29/2022 3:51
Giant Food,page4,10/29/2022 3:51
Stop & Shop,page4,10/29/2022 3:51
S&S/TGC,page4,10/29/2022 3:51
GF/TGC,page4,10/29/2022 3:51
The Giant Company,page3,10/29/2022 4:11
Giant Food,page3,10/29/2022 4:11
Stop & Shop,page3,10/29/2022 4:11
S&S/TGC,page3,10/29/2022 4:11
GF/TGC,page3,10/29/2022 4:11
The Giant Company,page2,10/29/2022 4:51
Giant Food,page2,10/29/2022 4:51
Stop & Shop,page2,10/29/2022 4:51
S&S/TGC,page2,10/29/2022 4:51
GF/TGC,page2,10/29/2022 4:51
The Giant Company,page4,11/2/2022 0:38
Giant Food,page4,11/2/2022 0:38
Stop & Shop,page4,11/2/2022 0:38
S&S/TGC,page4,11/2/2022 0:38
GF/TGC,page4,11/2/2022 0:38
The Giant Company,page3,11/2/2022 11:58
Giant Food,page3,11/2/2022 11:58
Stop & Shop,page3,11/2/2022 11:58
S&S/TGC,page3,11/2/2022 11:58
GF/TGC,page3,11/2/2022 11:58
The Giant Company,page2,11/2/2022 11:28
Giant Food,page2,11/2/2022 11:28
Stop & Shop,page2,11/2/2022 11:28
S&S/TGC,page2,11/2/2022 11:28
GF/TGC,page2,11/2/2022 11:28
